Gruppe,id_konk,id_wug,Erfahrung_lexikografie,Erfahrung_durel,anzahl_ohrwurm,bedeutung1_ohrwurm,bedeutung2_ohrwurm,bedeutung3_ohrwurm,zeit_ohrwurm,unklar_ohrwurm,anzahl_aussterben,bedeutung1_aussterben,bedeutung2_aussterben,bedeutung3_aussterben,bedeutung3_aussterben,G02Q15[SQ007],G02Q15[SQ008],zersetzen,G02Q15Copy[SQ002],G02Q15Copy[SQ003],G02Q15Copy[SQ004],G02Q15Copy[SQ005],G02Q15Copy[SQ006],G02Q15Copy[SQ007],G02Q15Copy[SQ008],Überflutung,G02Q15CopyCopy[SQ002],G02Q15CopyCopy[SQ003],G02Q15CopyCopy[SQ004],G02Q15CopyCopy[SQ005],G02Q15CopyCopy[SQ007],G02Q15CopyCopy[SQ008],Manschette,G02Q19[SQ002],G02Q19[SQ003],G02Q19[SQ004],G02Q19[SQ005],G02Q19[SQ006],G02Q19[SQ009],G02Q19[SQ007],G02Q19[SQ008],hinrichten,G02Q20[SQ002],G02Q20[SQ003],G02Q20[SQ004],G02Q20[SQ007],G02Q20[SQ008],titel,G02Q21[SQ002],G02Q21[SQ003],G02Q21[SQ004],G02Q21[SQ005],G02Q21[SQ006],G02Q21[SQ009],G02Q21[SQ010],G02Q21[SQ011],G02Q21[SQ012],G02Q21[SQ013],G02Q21[SQ007],G02Q21[SQ008],G03Q06[SQ003],G03Q07[SQ006],Zufr,G04Q14
B,1,Ich strebe derzeit einen Bachelorabschluss an,Nein,Nein,3,Eine eingängige Melodie,Eine pflanzenfressende Insektengruppe ähnlich den Heuschrecken,"Sich wiederholende Wortkombinationen, die einem im Gedächtnis bleiben","im ersten Zeitraum ist damit die Bedeutung als Insekt gemeint, im zweiten Zeitraum auch die des Musikstücks","Die Absicht der „rund"" -Mannschaft, neben Ohrwürmern auch bislang weniger Bekanntes zu präsentieren, ging auf.",2,Das Wegfallen einer Spezies oder Kultur,Eine Blutlinie hat keine Nachfahren mehr,Im zweiten Zeitraum sind eher Tiere gemeint,"erlins Tierpark und Moskaus Zoozentrum verstärken ihren Tieraustausch und bauen, um seltene und vom Aussterben bs <",2,Eine gesellschaftliche Spaltung oder Zerschlagung,"Ein chemischer Vorgang,  bei dem Gewebe zerstört oder umgewandelt wird",Im zweiten Zeitraum wird der Begriff mehr fürs Politische verwendet,"—, phosphorsaures, von Drosera zersetzt, 168",2,"Starke Niederschläge, bei denen viel Wasser an der Oberfläche bleibt",Ein Überangebot eines Produkts,Die zweite Bedeutung kommt erst im zweiten Zeitraum dazu,"Eintreten der Fische in die Wässerungsgräben zu verhindern und die Rückkehr der Fische, welche bei Überflutungen auf Grundstücke von Besitzern gelangen, die nicht fischereiberechtigt sind, in die natürlichen Wass",2,Endstück eines Ärmels,Eine Ummantelung eines Gegenstands,"Der technische Begriff wird eher im zweiten Zeitabschnitt verwendet, der modische eher im Ersten","1500.-Mürz- Manschetten knöpfe, Küchen-Anbaumöbel, Abwaschtisdie. bis 50, m. Schacht u. Prism.",1,Die vorsätzliche Tötung einer wehrlosen Person,Nein,Nein,3,Der Name eines Werks (z.B. ein Gedicht),Ein adliger Rang,Ein sportlicher Erfolg,Der sportliche Titel kam erst im zweiten Zeitabschnitt,Nein,--,+,-,Die zum Teil unvollständigen Sätze sind verwirrend.,,,,,,,,,,,,,,,,,,,,
B,2,Ich strebe derzeit einen Master / Diplom / Magister an,"Ja, kein vollständiges Wörterbuch, sondern Sammlungen spezifischer zu nutzender Bezeichnungen für eine einheitliche Sprache in einer Redaktion",Nein,3,Ein Insekt,Ein Lied,Ein Organ,"Um das sagen zu können, bräuchte ich bei der bedienung der Tabelle mehr als 5 min ","Mehrere, wenn nicht genug Kontext da ist",2,Eine Art existiert nicht mehr,Irgendwas mit Nationalismus,Der Nationalimus lässt nach,"Immer, wenn der Kontext angeschnitten ist",1,Auflösen,Nein,Nein,1,Etwas (meist Wasser) übertritt etwas anderes,Nein,Nein,3,Ziergegenstände für Kleidung,Medizinische Binde,Ringförmiger Verschluss,Von der reinen Kleiderbezeichnung wurde das Wort breiter verwendet,Nein,2,Exekutieren,Vorbereiten,Nein,Nein,5,Adelssgrad,Bezeichnung,Lieder,Rekordhalter / Sieger,Bücher,"Anfänglich viel Adel, am Ende mehr Kultur",Nein,Unwahrscheinlich,Nicht nützlich,Unzufrieden,"Dass die Inhalte der Tabelle nicht auf voller Breite der Seite angezeigt werden und dauerhaftes Scrollen erfordert, macht die Nutzung zu einem absoluten Albtraum und ungerechtfertigtem Zeitaufwand durch schlechtes Userinterface Design. 
Auch die abgeschnittenen Sätze und mangelnde Möglichkeit mehr Kontext zu sehen schränkt die Nützlichkeit extrem ein. 
Während ich sehe, welchen Nutzen das Tool haben könnte, ist die Art wie es vorliegt so abschreckend, dass eine sehr große extrinsische Motivation vorliegen müsste, um mich dazu zu bringen es ein weiteres Mal zu nutzen.",,,,,,,,,,,,,,,,,,
B,3,Ich strebe derzeit einen Master / Diplom / Magister an,nope,Nein,2,Insekt,Eingängiges Lied,"Ab 1959 fällt Bedeutung 1 weg, Bedeutung 2 übernimmt",nein,1,Sterben des letzten Vertreters einer Gruppe von Individuen,Nein,Nein,2,"aufgeteilt, bestehend aus",aufgelöst,Zum zweiten Zeitraum hin verliert Bedeutung 1 an Bedeutung,471568,2,"Plötzlicher, starker Anstieg des Wasserspiegels ",Schneller Vormarsch,Rasanter zahlenmäßiger Anstieg eines Anteils einer Gruppe,Bedeutung 1 immer dominanter mit fotschreitender Zeit,nein,1,Abschluss des Ärmels an einem Hemd,Ein um den Arm/Hals zu legender Schal,nein,"471358, 471349",1,Als Vergeltung für eine Straftat getötet,"nein, immer gleich",nein,3,"Überschrift, Bezeichnung",Anrede,"Preis, Sieg","Zu Beginn hauptsächlich 1 und 2, später immer häufiger 3",nein,Unwahrscheinlich,~,Unzufrieden,"Die Konkordanz-Tabelle wird viel zu schmal dargestellt. Auf jedem einschlägigen Bildschirm ist genug Platz, um mindestens doppelt so viel Breite zu erlauben. Das hätte die Teilnahme an dieser Studie deutlich angenehmer gemacht...",,,,,,,,,,,,,,,,,,,,,
B,4,Ich strebe derzeit einen Master / Diplom / Magister an,"ja, ich habe in Vorlesungen davon gehört",Nein,2,"Lied/Musik, die sich im Kopf kontinuiertlich wiederholt. Beispiel: 471688",Insekt. Beispiel: 471707,"ja, im ersten Zeitraum nur Bedeutung 2, im zweiten nur Bedeutung 1",nein,1,Ende der Existenz von etwas. Beispiel: 471469,nein,nein,2,Etwas in seine Bestandteile aufteilen. Beispiel: 471566,zerstören. Beispiel: 471523,nein,471532,2,"Ansteigen des Wasserstandes, sodass Landteile von Wasser bedeckt werden. Beispiel: 471738",Großes Vorkommen von etwas in einem Gebiet. Beispiel: 471757,Bedeutung 2 wird seltener,nein,2,Umschlag am Hemdärmel. Beispiel: 471354,Ummantelung zum Schutz von etwas. Beispiel: 471363,Bedeutung 2 erst im zweiten Zeitraum,"471386,471344",2,Einen Gefangenen töten lassen. Beispiel: 471390,In eine bestimmte Richtung ausgerichtet. Beispiel: 471400,Bedeutung 2 nur im ersten Zeitraum,nein,3,Name/Bennenung eines Werks. Beispiel: 471270,"Anrede einer Person, die deren gesellschaftlichen Rang angibt. Beispiel: 471236",Auszeichnung für etwas. Beispiel: 471256,Bedeutung 1 selten im zweiten Zeitraum,"471157,471202,471212",~,+,+,"Manchmal wäre es hilfreich, wenn der Kontext nicht im Satz abgeschnitten wäre, sondern mehr zu sehen wäre.",,,,,,,,,,,,,,,,,,,,,
B,5,Ich strebe derzeit einen Bachelorabschluss an,Nein,Nein,2,"Ohrwurm als Insekt, 471694","Ohrwurm als Lied, das im Kopf bleibt",Bedeutung Ohrwurm als Lied erst ab 1972.,"Verwendungen ohne Kontext: 471703, 471712, 471695, 471706",2,"Aussterben eines Volkes / eines Geschlechts (z.B. der Karolinger, 471469)",Aussterben von Tier- und Pflanzenarten,"Im ersten Zeitraum hauptsächlich das Aussterben eines Geschlechts, im zweiten Zeitraum hauptsächlich das Aussterben von Tieren und Pflanzen","471443, 471457 (Beruf stirbt aus)",3,Chemische Zersetzung verschiedener Stoffe und Materialien (471647),Geistiges / moralisches Zersetzen von Menschen oder Menschengruppen (471684),Von Menschen gemachte Strukturen / Organisationen zersetzen (471527),"Im ersten Zeitraum fast ausschließlich chemische Zersetzung, ab 1945 neu: geistige Zersetzung und Zersetzung von Strukturen, chemische Zersetzung aber auch vorhanden","""Lügen zersetzen""  471652, Selbstbewusstein zersetzt sich 471650",4,"Überflutung durch Menschen 471740, 471750",Überflutung durch Wasser 471779,Überflutung durch Gegenstände (von denen es hierdurch überdurchschnittlich viele gibt) 471785,Überflutung durch Reize / nicht physische Dinge 471755,"Im ersten Zeitraum alle Bedeutungen vorhanden, ab 1945 fast ausschließlich Überflutung durch Wasser",Nein,3,Manschette an der Kleidung 471383,Medizinische Manschette 471367,Manschette als Teil der Charaktereigenschaft / Anstand 471371,Im zweiten Zeitraum taucht die medizinische Manschette erstmals auf,Nein,1,Ein Mensch wird hingerichtet (getötet),Nein,Nein,3,Titel als Überschrift 471159,Titel eines Menschen (bspw im Adel) 471185,Titel als Gewinner (bspw im Sport) 471321,"Im ersten Zeitraum hauptsächlich der Titel eines Menschen, im zweiten Zeitraum hauptsächlich der Titel für Gewinner",Nein,~,++,Zufrieden,Wörter ohne Kontext (siehe Ohrwurm) sind nicht sehr hilfreich.,,,,,,,,,,,,,,,,,
B,6,Abitur,Nein,Nein,2,Insekt,"Melodie, die im Kopf bleibt",Bedeutung zwei kommt erst im zweiten Zeitraum dazu,471714,1,Erlöschen von Existenz,Nein,Nein,6,in Einzelteile zerfallen,sich aufteilen,sich durch chemische Stoffe auflösen,sich auflösen,entrücken/verunsichern/auflösen (pol.),Bedeutung 5 kommt erst im zweiten Zeitraum dazu,471630,2,Naturkatastrophe durch Wasser,geogr./kulturelle Einnahme,Nein,Nein,3,Kleidungsstück,medizinisches Utensil,Bestandteil von technischen Geräten,Bedeutung 2 und 3 kamen erst im zweiten Zeitraum dazu,Nein,2,Todesstrafe erteilen/töten,in eine Richtung zeigen,Bedeutung 2 fiel im zweiten Zeitraum weg,Nein,5,Bezeichnung/Name,gesellschaftlicher Rang,lit. Werk/Buch,Musikstück/Lied,Rang/Auszeichnung eines Wettbewerbs,Bedeutung 4 & 5 kamen im zweiten Zeitraum dazu,Nein,Unwahrscheinlich,+,+,"Die Aufführung der Definitionen in Tabellenform erleichtert den Überblick über die Entwicklung der Wortbedeutungen und gibt schnelle Übersicht. Die Darstellung der Quelltexte sollte optimiert werden; fehlende Satzanfänge zum Beispiel mit ""[...]"" gekennzeichnet werden, um Verwirrung zu vermeiden. ",,,,,,,,,,,,,,,
B,7,Abitur,Nein,Nein,2,"Kleintier, welches in verschiedene Unterarten hat, die sich hauptsächlich in der Größe unterscheiden.",Melodie welche nicht mehr aus dem Kopf geht.,Die zweite Bedeutung kommt im ersten Zeitraum nicht vor.,nein,3,Wenn eine Familie keine nachfahren hat und sie so verschwindet. 471442,Wenn alle Tiere einer Sterben.  471438,Wenn ein Beruf nicht mehr gebraucht wird. 471443,"Bedeutung 1 wird im ersten Zeitraum verwendet, 2 und 3 werden um zweiten Zeitraum verwendet.",471446,3,Etwas im chemischen sinne in seine Bestandteile auflößen. 471502,Etwas Zerstören. 471558,Etwas aufteilen. 471568,nein,nein,2,"Land welches normal trocken ist, wird unterwasser gesetzt. 471716",Überwältigung einer Fraktion durch eine riesige menge gegner. 471740,nein,nein,1,Der untere Teil von Ärmeln welcher das Handgelenkt bedekt. 471354,nein,nein,2,Ein Todesurteil vollstrecken. 471429,Den Blick auf etwas richten. 471432,Bedeutung 2 kam nur im ersten Zeitraum vor,471437,3,Name eines Schriftstücks. 471159,politischer/sozialer Rang. 471142,Belohnung für eine Besondere leistung. 471226,Ja Bedeutung 3 kommt nur im zweiten Zeitraum vor,nein,Unwahrscheinlich,--,Unzufrieden,"Es wäre schön wenn es möglich wäre, das Fenster in welchem die Texte angezeigt werden vergrößern zu können um scrollen zu vermeiden.
Teilweise wäre es hilfreich wenn die Sätze in denen das Wort vorkommt komplett angezeigt werden.
Eine Scrollbar in dem Fenster wäre eventuell auch nützlich.

Wenn man auserhalb des Fensters Clickt funktionieren die Pfeiltasten nicht bis man wieder ein mal in das Fesnter clickt.",,,,,,,,,,,,,,,,,,,
B,10,Master / Diplom / Magister,Nein,Ja,2,471707 Insektenart,471690 Mitreisende Melodie,Ohrwurm wird für Msik erst im späteren Zeitraum verwendet.,471705 Ein hartnäckiger Ohrwurm,4,471444 Das Ende einer Familie.,471447 Der Untergang eines Volkes.,471474 Das Auslöschen einer Tier oder Pflanzenart.,471457 Das wegfallen eines Berufs.,"In der frühren Zeit sind referenzen zu Tieren und Pflanzen sehr selten. In der modernen Zeit sind diese fast alles, und Adelsfamilien kommen nicht mehr vor.",Nein,3,471566 Physikalisches Auflösen oder Zerfallen.,471650 Metaphorisches Auflösen oder Zerfallen.,"471673 Gesellschaftliche, Politische oder Organisatorische zersplitterung oder schwächung.","Verwendungen im Metaphorischen oder Gesellschaftlichen sinne sind im früheren Zeitraum sehr Selten, aber später sehr häufig.",Nein,4,471746 Zu viel Wasser.,471740 Einströmen vieler Menschen.,471763 Großer markwirtschaftlicher Eingang von Produkten.,471773 Einwanderung von Tieren.,In neurer Zeit wird das Owrt nicht mehr für Menschenmassen verwendet.,Nein,3,471354 Ärmelende.,471367 Medizinische Schnalle um Arm oder Bein.,471343 Mechanische Ring- oder Kolbenförmige Schutzhülle.,"In der frühen Zeit nur für Hemdärmel verwendet, andereBedeutungen erst später.",471385 471371 471351 471350 471349,2,471389 Exekution,471400 Positionierung.,Hinrichtung für Positionierung ist in späterer Zeit nicht mehr vorhanden.,471435,6,471159 Name eines Textes oder Werkes.,"471142 Namenszuatz einer Person, die einen Rang impliziert.",471299 Spitzname.,471275 Kapitel.,"471178 Buch, Werk.",471288 Meisterschaft.,"Titel für Personen fast nur in der Älteren Zeit, Meisterschaften nur in der Neuzeit.",471337,Unwahrscheinlich,+,-,"Interface ist begrenzt. Tabelle kann nicht komplett in der Breite angezeigt werden, auch wenn der Bildschirm groß genug ist.",,,,,,,,,,,
A,1,Abgeschlossene Ausbildung,Nein,Nein,3,Insekt,Preis,"Melodie, die im Kopf bleibt",nein,nein,2,"Ein Volk, eine Gattung etc. gibt es nicht mehr, da alle ""Exemplare"" verstorben sind und es keine Nachkommen gibt","Einen Sache gibt es nicht mehr, da niemand mehr sie macht oder will etc.",nein,nein,2,wörtlich,methaphorisch,-,nein,nein,2,Etwas wird mit (meistens) Wasser überschwemmt,"wird als Synonym für ""überrannt"" verwendet",-,nein,nein,4,Teil von Kleidung,Werkzeug/-material,"als Metapher, etwas erledigt zu haben bzw. geschafft",umschreibend,-,-,nein,nein,2,getötet werden,etwas bereit legen,-,nein,nein,4,Machthabende beschreibend,Name,Überschrift,Auszeichnung,-,nein,nein,Unwahrscheinlich,+,-,,,,,,,,,,,
A,4,Master / Diplom / Magister,"Ja, in meinem Bachelorstudiumstudium der Überstezungswissenschaft ",Ja,2,Ein Insekt,"Musikstück, das dem Hörer über längere Zeit in Erinnerung bleibt","Ja, die Bedeutung 2 kommt erst beim zweiten Zeitraum hinzu.","""Ohrwurm.""",1,Etwas hört auf zu existieren z.B. Tiere oder Berufe,Nein,"""17.00 Hypothesen über das Aussterben;""",2,Etwas löst sich auf z.B. in der Chemie,Eine zerstörende Wirkung im übertragenen Sinn,Nein,"""von Drosera zersetzt""",2,Hochwasser in Gewässern kann als Folge die Überflutung von normalerweise trockener Bodenfläche haben,Im übertragenen Sinn z.B. Überflutung des Vaterlandes mit englischen Ansichten oder eine asiatische Überflutung Europas,Nein,"""Wenn gleich diese Erscheinungen und ihr Zusammenhang mit alten Ueberfluthungen (einer einmaligen oder mehrfachen) das Interesse fesselten und, ...""",4,"Bei einem langärmligen Oberteil z.B. einem Hemd der untere Abschluss, der sich um das Handgelenk wickelt und mit Knöpfen geschlossen wird",Ein Dichtungsring im Bereich der Technik,Eine Art Hülle z.B. in der Zahnmedizin,Vor etwas Angst haben,Zeitraum 1 1803-1879 und Zeitraum 2 1879-1989 in Zeitraum 1 kam Bedeutung 2 nicht vor,"""Wo ist die Moral, wo sind die Manschetten?""",2,Jemanden töten,Etwas auf eine bestimmte Art platzieren,Den Blick oder einen Gegenstad auf etwas richten oder,Es gab nur die Jahre 1850 und 1968. Im Jahr 1968 kam nur die Bedeutung 1 vor.,Nein,3,"Name eines Werkes z.B. Buch, Film, Musikstück etc.",Eine Leistungsanerkennung / Auszeichnung z.B. im Bereich des Sports,"Ein bestimmter Rang, den eine Person hat und der seinem Namen vorangestellt wird",Nein,"""31 Titel,""",~,-,+,"- Filtermethode für die Änderung der Bedeutung über die Zeit etwas umständlich und teilweise mit langer Wartezeit
- Keine Kopierfunktion der Sätze (kann aber auch sein, dass ich es nicht rausgefunden habe)
- Verständnis der Darstellungen war sehr einfach aber teilweise mir persönlich zu unübersichtlich ",,,,,,,,,,,,,,,,,,
