identifier1	identifier2	annotator	judgment	comment	lemma
hinrichten-c1-i47	hinrichten-c1-i98	annotator1	4	 	hinrichten
hinrichten-c1-i47	hinrichten-c1-i43	annotator1	1	 	hinrichten
hinrichten-c1-i47	hinrichten-c2-i50	annotator1	4	 	hinrichten
hinrichten-c1-i47	hinrichten-c2-i47	annotator1	4	 	hinrichten
hinrichten-c1-i63	hinrichten-c1-i60	annotator1	4	 	hinrichten
hinrichten-c1-i63	hinrichten-c1-i90	annotator1	4	 	hinrichten
hinrichten-c1-i63	hinrichten-c2-i61	annotator1	4	 	hinrichten
hinrichten-c1-i63	hinrichten-c1-i98	annotator1	4	 	hinrichten
hinrichten-c1-i63	hinrichten-c1-i1	annotator1	4	 	hinrichten
hinrichten-c1-i63	hinrichten-c2-i52	annotator1	4	 	hinrichten
hinrichten-c1-i13	hinrichten-c2-i57	annotator1	4	 	hinrichten
hinrichten-c1-i13	hinrichten-c2-i61	annotator1	4	 	hinrichten
hinrichten-c1-i13	hinrichten-c2-i95	annotator1	4	 	hinrichten
hinrichten-c1-i13	hinrichten-c2-i86	annotator1	4	 	hinrichten
hinrichten-c1-i13	hinrichten-c2-i98	annotator1	4	 	hinrichten
hinrichten-c1-i87	hinrichten-c2-i98	annotator1	4	 	hinrichten
hinrichten-c1-i87	hinrichten-c2-i26	annotator1	4	 	hinrichten
hinrichten-c1-i87	hinrichten-c2-i71	annotator1	4	 	hinrichten
hinrichten-c1-i87	hinrichten-c2-i76	annotator1	4	 	hinrichten
hinrichten-c1-i87	hinrichten-c2-i73	annotator1	4	 	hinrichten
hinrichten-c1-i87	hinrichten-c2-i50	annotator1	4	 	hinrichten
hinrichten-c1-i43	hinrichten-c1-i60	annotator1	1	 	hinrichten
hinrichten-c1-i43	hinrichten-c1-i15	annotator1	1	 	hinrichten
hinrichten-c1-i43	hinrichten-c2-i76	annotator1	1	 	hinrichten
hinrichten-c1-i43	hinrichten-c1-i1	annotator1	1	 	hinrichten
hinrichten-c1-i43	hinrichten-c2-i50	annotator1	1	 	hinrichten
hinrichten-c1-i98	hinrichten-c2-i57	annotator2	4	 	hinrichten
hinrichten-c1-i98	hinrichten-c2-i33	annotator1	4	 	hinrichten
hinrichten-c1-i98	hinrichten-c1-i33	annotator1	4	 	hinrichten
hinrichten-c1-i98	hinrichten-c2-i40	annotator1	4	 	hinrichten
hinrichten-c1-i23	hinrichten-c1-i53	annotator1	4	 	hinrichten
hinrichten-c1-i23	hinrichten-c1-i17	annotator1	4	 	hinrichten
hinrichten-c1-i23	hinrichten-c2-i50	annotator1	4	 	hinrichten
hinrichten-c1-i23	hinrichten-c1-i43	annotator1	1	 	hinrichten
hinrichten-c1-i23	hinrichten-c2-i91	annotator1	4	 	hinrichten
hinrichten-c1-i23	hinrichten-c1-i63	annotator1	4	 	hinrichten
hinrichten-c1-i23	hinrichten-c1-i24	annotator1	4	 	hinrichten
hinrichten-c1-i96	hinrichten-c1-i32	annotator2	2	 	hinrichten
hinrichten-c1-i96	hinrichten-c1-i53	annotator1	4	 	hinrichten
hinrichten-c1-i96	hinrichten-c2-i7	annotator1	4	 	hinrichten
hinrichten-c1-i96	hinrichten-c2-i61	annotator1	4	 	hinrichten
hinrichten-c1-i96	hinrichten-c1-i60	annotator1	4	 	hinrichten
hinrichten-c1-i96	hinrichten-c2-i11	annotator1	4	 	hinrichten
hinrichten-c1-i96	hinrichten-c1-i47	annotator1	4	 	hinrichten
hinrichten-c1-i17	hinrichten-c1-i13	annotator2	4	 	hinrichten
hinrichten-c1-i17	hinrichten-c2-i57	annotator1	4	 	hinrichten
hinrichten-c1-i17	hinrichten-c2-i74	annotator1	4	 	hinrichten
hinrichten-c1-i17	hinrichten-c2-i71	annotator1	4	 	hinrichten
hinrichten-c1-i17	hinrichten-c2-i7	annotator1	4	 	hinrichten
hinrichten-c1-i17	hinrichten-c1-i96	annotator1	4	 	hinrichten
hinrichten-c1-i15	hinrichten-c2-i74	annotator1	4	 	hinrichten
hinrichten-c1-i35	hinrichten-c1-i13	annotator2	4	 	hinrichten
hinrichten-c1-i35	hinrichten-c1-i23	annotator2	4	 	hinrichten
hinrichten-c1-i35	hinrichten-c2-i73	annotator2	4	 	hinrichten
hinrichten-c1-i35	hinrichten-c2-i41	annotator1	4	 	hinrichten
hinrichten-c1-i35	hinrichten-c2-i76	annotator1	4	 	hinrichten
hinrichten-c1-i35	hinrichten-c1-i87	annotator1	4	 	hinrichten
hinrichten-c1-i35	hinrichten-c1-i98	annotator1	4	 	hinrichten
hinrichten-c1-i35	hinrichten-c1-i13	annotator1	4	 	hinrichten
hinrichten-c1-i27	hinrichten-c2-i40	annotator2	1	 	hinrichten
hinrichten-c1-i27	hinrichten-c1-i5	annotator1	1	 	hinrichten
hinrichten-c1-i27	hinrichten-c1-i23	annotator1	1	 	hinrichten
hinrichten-c1-i27	hinrichten-c2-i38	annotator1	1	 	hinrichten
hinrichten-c1-i27	hinrichten-c1-i47	annotator1	1	 	hinrichten
hinrichten-c1-i27	hinrichten-c1-i57	annotator1	2	 	hinrichten
hinrichten-c1-i57	hinrichten-c2-i98	annotator1	1	 	hinrichten
hinrichten-c1-i57	hinrichten-c1-i78	annotator1	1	 	hinrichten
hinrichten-c1-i57	hinrichten-c1-i5	annotator1	1	 	hinrichten
