identifier1	identifier2	annotator	judgment	comment	lemma
Aussterben-c1-i86	Aussterben-c1-i80	annotator2	0	 	Aussterben
Aussterben-c1-i86	Aussterben-c1-i1	annotator2	0	 	Aussterben
Aussterben-c1-i86	Aussterben-c2-i35	annotator2	3	 	Aussterben
Aussterben-c1-i86	Aussterben-c1-i85	annotator0	3	 	Aussterben
Aussterben-c1-i86	Aussterben-c1-i25	annotator0	3	 	Aussterben
Aussterben-c1-i86	Aussterben-c2-i41	annotator0	3	 	Aussterben
Aussterben-c1-i86	Aussterben-c2-i50	annotator0	3	 	Aussterben
Aussterben-c1-i86	Aussterben-c1-i67	annotator1	3	 	Aussterben
Aussterben-c1-i1	Aussterben-c2-i50	annotator2	4	 	Aussterben
Aussterben-c1-i1	Aussterben-c2-i72	annotator2	4	 	Aussterben
Aussterben-c1-i1	Aussterben-c2-i98	annotator2	4	 	Aussterben
Aussterben-c1-i1	Aussterben-c2-i55	annotator2	4	 	Aussterben
Aussterben-c1-i1	Aussterben-c2-i85	annotator0	4	 	Aussterben
Aussterben-c1-i1	Aussterben-c1-i85	annotator1	3	 	Aussterben
Aussterben-c1-i1	Aussterben-c2-i50	annotator1	3	 	Aussterben
Aussterben-c1-i1	Aussterben-c1-i49	annotator1	3	 	Aussterben
Aussterben-c1-i1	Aussterben-c1-i4	annotator1	3	 	Aussterben
Aussterben-c1-i1	Aussterben-c2-i14	annotator1	3	 	Aussterben
Aussterben-c1-i78	Aussterben-c1-i32	annotator0	4	 	Aussterben
Aussterben-c1-i78	Aussterben-c1-i71	annotator1	3	 	Aussterben
Aussterben-c1-i78	Aussterben-c1-i5	annotator1	3	 	Aussterben
Aussterben-c1-i78	Aussterben-c2-i74	annotator1	3	 	Aussterben
Aussterben-c1-i78	Aussterben-c2-i14	annotator1	3	 	Aussterben
Aussterben-c1-i78	Aussterben-c2-i52	annotator1	3	 	Aussterben
Aussterben-c1-i44	Aussterben-c2-i70	annotator2	3	 	Aussterben
Aussterben-c1-i44	Aussterben-c1-i2	annotator2	3	 	Aussterben
Aussterben-c1-i44	Aussterben-c2-i98	annotator2	3	 	Aussterben
Aussterben-c1-i44	Aussterben-c2-i41	annotator0	4	 	Aussterben
Aussterben-c1-i44	Aussterben-c1-i85	annotator0	4	 	Aussterben
Aussterben-c1-i44	Aussterben-c2-i82	annotator1	3	 	Aussterben
Aussterben-c1-i44	Aussterben-c1-i74	annotator1	3	 	Aussterben
Aussterben-c1-i44	Aussterben-c1-i13	annotator1	3	 	Aussterben
