lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized
Aussterben	NOUN	1850	1	Aussterben-c1-i86	 	Er soll es doch so eingerichtet haben, antwortete La Rose, der in Mußestunden las und immer noch in seiner durch das Aussterben in Frankreich und das Uebermaß von Menschenerzeugung in Deutschland angeregten Gedankenverbindung lebte, er soll es doch so eingerichtet haben, daß die sämmtlichen Frauen, die Einer nehmen kann, die jährliche Kinderernte keineswegs vermehren.	117:127	0:370	Er soll es doch so eingerichtet haben , antwortete La Rose , der in Mußestunden las und immer noch in seiner durch das Aussterben in Frankreich und das Uebermaß von Menschenerzeugung in Deutschland angeregten Gedankenverbindung lebte , er soll es doch so eingerichtet haben , daß die sämmtlichen Frauen , die Einer nehmen kann , die jährliche Kinderernte keineswegs vermehren .	23	0:61
Aussterben	NOUN	1850	1	Aussterben-c1-i1	 	Nachdem wir so diese Uebersicht über die Art, wie die Naturvölker das Menschenleben schätzen, vollendet haben, ergibt sich als Resultat, dass ihre Kriege für sie höchst gefährlich sind, ja einzelnen geradezu die Existenz gefährden, so dass wir sie in erster Linie aufführen müssen, wenn wir die Ursachen für das Aussterben der Naturvölker aufsuchen; dass aber Kannibalismus und Menschenopfer, obwohl in einzelnen Ländern furchtbar ausgedehnt, nur von sekundärer Wichtigkeit sind und nur wenn sie mit anderen Gründen vereint auftreten, zur sichtlichen Verminderung eines Volkes beigetragen haben.	312:322	0:595	Nachdem wir so diese Uebersicht über die Art , wie die Naturvölker das Menschenleben schätzen , vollendet haben , ergibt sich als Resultat , dass ihre Kriege für sie höchst gefährlich sind , ja einzelnen geradezu die Existenz gefährden , so dass wir sie in erster Linie aufführen müssen , wenn wir die Ursachen für das Aussterben der Naturvölker aufsuchen ; dass aber Kannibalismus und Menschenopfer , obwohl in einzelnen Ländern furchtbar ausgedehnt , nur von sekundärer Wichtigkeit sind und nur wenn sie mit anderen Gründen vereint auftreten , zur sichtlichen Verminderung eines Volkes beigetragen haben .	56	0:97
Aussterben	NOUN	1850	1	Aussterben-c1-i78	 	Es unterliegt keinem Zweifel mehr, dass Tacitus und Ptolemäus jene Völkerschaften unter den Namen Fenni und Phinni ungefähr in ihren heutigen Wohnsitzen gekannt haben. Ihren Mundarten nach zerfallen sie in die Suomi am finnischen und bothnischen Meerbusen, die nachbarlichen Karelen, die Wepsen oder Nordtschuden am Südwestufer des Ladogasees, die Woten oder Südtschuden nordöstlich von der Stadt Narwa, beide im Aussterben begriffen, die seit 1846 in Kurland erloschenen Krewinen, die auf 2000 Köpfe zusammengeschmolzenen Liven, ebenfalls in Kurland am Gestade des Meerbusens von Riga, und die noch zahlreichen und geschlossen sitzenden Ehsten.	413:423	0:645	Es unterliegt keinem Zweifel mehr , dass Tacitus und Ptolemäus jene Völkerschaften unter den Namen Fenni und Phinni ungefähr in ihren heutigen Wohnsitzen gekannt haben . Ihren Mundarten nach zerfallen sie in die Suomi am finnischen und bothnischen Meerbusen , die nachbarlichen Karelen , die Wepsen oder Nordtschuden am Südwestufer des Ladogasees , die Woten oder Südtschuden nordöstlich von der Stadt Narwa , beide im Aussterben begriffen , die seit 1846 in Kurland erloschenen Krewinen , die auf 2000 Köpfe zusammengeschmolzenen Liven , ebenfalls in Kurland am Gestade des Meerbusens von Riga , und die noch zahlreichen und geschlossen sitzenden Ehsten .	65	0:102
Aussterben	NOUN	1850	1	Aussterben-c1-i44	 	Der badische Hof mochte irgendwo auf dem linken Rheinufer seine Entschädigung finden; das schlaffe Regiment des Großherzogs Karl stand überhaupt bei den großen Mächten in schlechtem Ansehen, zudem schien seine Dynastie dem Aussterben nahe.	223:233	0:239	Der badische Hof mochte irgendwo auf dem linken Rheinufer seine Entschädigung finden ; das schlaffe Regiment des Großherzogs Karl stand überhaupt bei den großen Mächten in schlechtem Ansehen , zudem schien seine Dynastie dem Aussterben nahe .	34	0:37
Aussterben	NOUN	1850	1	Aussterben-c1-i0	 	Jhr gänzliches Aussterben steht leider zu erwarten, denn diese vier sollen sämmtlich eines Geschlechtes sein.	15:25	0:109	Jhr gänzliches Aussterben steht leider zu erwarten , denn diese vier sollen sämmtlich eines Geschlechtes sein .	2	0:17
Aussterben	NOUN	1850	1	Aussterben-c1-i80	 	Noch im Anfang des funfzehnten Jahrhunderts machte der römische König Ruprecht einen entschlossenen Angriff auf Mailand: in der Mitte desselben regte sich nach dem Aussterben der Visconti in Mailand selbst eine Partei, welche der Meinung war sich dem Kaiser zu unterwerfen:	164:174	0:273	Noch im Anfang des funfzehnten Jahrhunderts machte der römische König Ruprecht einen entschlossenen Angriff auf Mailand : in der Mitte desselben regte sich nach dem Aussterben der Visconti in Mailand selbst eine Partei , welche der Meinung war sich dem Kaiser zu unterwerfen :	25	0:44
Aussterben	NOUN	1850	1	Aussterben-c1-i91	 	Der Großherzog von Baden besaß den Breisgau kraft des Preßburger Friedens „in derselben Weise und mit denselben Rechten“ wie vordem der Herzog von Modena; da nun das Kaiserhaus der nächste Erbe seiner modenesischen Vettern war, so stellte der Wiener Hof die ungeheuerliche Behauptung auf, er könne nicht nur nach dem Aussterben des Hauses Modena dessen italienische Besitzungen, sondern auch nach dem Ableben der Zähringer Hauptlinie den Heimfall des Breisgaus fordern.	317:327	0:469	Der Großherzog von Baden besaß den Breisgau kraft des Preßburger Friedens „ in derselben Weise und mit denselben Rechten “ wie vordem der Herzog von Modena ; da nun das Kaiserhaus der nächste Erbe seiner modenesischen Vettern war , so stellte der Wiener Hof die ungeheuerliche Behauptung auf , er könne nicht nur nach dem Aussterben des Hauses Modena dessen italienische Besitzungen , sondern auch nach dem Ableben der Zähringer Hauptlinie den Heimfall des Breisgaus fordern .	55	0:77
Aussterben	NOUN	1850	1	Aussterben-c1-i74	 	Auch sie ist gegenwärtig im Aussterben begriffen, wie das Wild, zu dessen Jagd sie diente.	28:38	0:90	Auch sie ist gegenwärtig im Aussterben begriffen , wie das Wild , zu dessen Jagd sie diente .	5	0:18
Aussterben	NOUN	1850	1	Aussterben-c1-i18	 	Diese Vernichtung aber des gesammten geistigen und ethischen Lebens der Nationen kann man gar nicht stark genug betonen, wenn man die Gründe für ihr Aussterben aufsuchen will.	149:159	0:175	Diese Vernichtung aber des gesammten geistigen und ethischen Lebens der Nationen kann man gar nicht stark genug betonen , wenn man die Gründe für ihr Aussterben aufsuchen will .	25	0:29
Aussterben	NOUN	1850	1	Aussterben-c1-i49	 	Die böse Welt fragte nach ihrer Gewohnheit: wem bringt das Aussterben der braunschweigischen Linie Vortheil? — und da die Antwort nur lauten konnte: dem Hause Hannover — so bildete sich bald ein kunstvolles Lügengewebe, das unzerstörbar fest erschien, weil alle seine Fäden eng verknotet waren.	59:69	0:294	Die böse Welt fragte nach ihrer Gewohnheit : wem bringt das Aussterben der braunschweigischen Linie Vortheil ? — und da die Antwort nur lauten konnte : dem Hause Hannover — so bildete sich bald ein kunstvolles Lügengewebe , das unzerstörbar fest erschien , weil alle seine Fäden eng verknotet waren .	11	0:51
Aussterben	NOUN	1850	1	Aussterben-c1-i4	 	In den geheimen Artikeln ward ausbedungen: die badische Pfalz solle nach dem Aussterben der Zähringer Hauptlinie an Baiern zurückfallen; Baiern solle ferner, zum Ersatz für die verlorene Contiguität, so bald als möglich den badischen Main-Tauberkreis und, bis diese Abtretung bewirkt sei, von Seiten Oesterreichs eine jährliche Rente von 100,000 fl. erhalten.	77:87	0:359	In den geheimen Artikeln ward ausbedungen : die badische Pfalz solle nach dem Aussterben der Zähringer Hauptlinie an Baiern zurückfallen ; Baiern solle ferner , zum Ersatz für die verlorene Contiguität , so bald als möglich den badischen Main-Tauberkreis und , bis diese Abtretung bewirkt sei , von Seiten Oesterreichs eine jährliche Rente von 100,000 fl. erhalten .	13	0:58
Aussterben	NOUN	1850	1	Aussterben-c1-i40	 	Bei solchen Arten, die in ganz kleinen und rasch austrocknenden Wasser-Ansammlungen (Pfützen) leben, wechseln die beiden Arten der Eibildung sehr rasch miteinander ab, weil nur die Wintereier mit ihren dicken Schalen das Aussterben der Kolonie verhindern, falls die Pfütze plötzlich austrocknet, während alle Arten, welche in grossen Wasseransammlungen leben, in Teichen und Seen, die niemals austrocknen, eine grosse Zahl von Generationen hindurch nur Sommereier hervorbringen und erst bei Herannahen des Winters zur Erzeugung der anderen Eiart übergehen, welche auch nach dem Absterben der Kolonie den Bestand derselben durch Überwintern sicher stellen.	221:231	0:655	Bei solchen Arten , die in ganz kleinen und rasch austrocknenden Wasser-Ansammlungen ( Pfützen ) leben , wechseln die beiden Arten der Eibildung sehr rasch miteinander ab , weil nur die Wintereier mit ihren dicken Schalen das Aussterben der Kolonie verhindern , falls die Pfütze plötzlich austrocknet , während alle Arten , welche in grossen Wasseransammlungen leben , in Teichen und Seen , die niemals austrocknen , eine grosse Zahl von Generationen hindurch nur Sommereier hervorbringen und erst bei Herannahen des Winters zur Erzeugung der anderen Eiart übergehen , welche auch nach dem Absterben der Kolonie den Bestand derselben durch Überwintern sicher stellen .	37	0:104
Aussterben	NOUN	1850	1	Aussterben-c1-i71	 	Nicht das physische Aussterben, soweit es vorkommt, fällt ins Gewicht, weil ohnedem von dem allmächtigen Geschichtsgang abhängig, der weder zu hemmen, noch abzuwenden ist.	20:30	0:171	Nicht das physische Aussterben , soweit es vorkommt , fällt ins Gewicht , weil ohnedem von dem allmächtigen Geschichtsgang abhängig , der weder zu hemmen , noch abzuwenden ist .	3	0:30
Aussterben	NOUN	1850	1	Aussterben-c1-i5	 	Dies ist in Verbindung mit den Ueberresten der älteren Volkstracht dasjenige, was wir heute sehen und was ebenfalls nun wieder dem Aussterben nahe erscheint.	131:141	0:157	Dies ist in Verbindung mit den Ueberresten der älteren Volkstracht dasjenige , was wir heute sehen und was ebenfalls nun wieder dem Aussterben nahe erscheint .	22	0:26
Aussterben	NOUN	1850	1	Aussterben-c1-i88	 	Dass aber solche Kriege der Existenz ganzer Völker verhängnissvoll geworden sind und also, als für ihr Aussterben grundlegend, recht eigentlich zu unserer Betrachtung gehören, dafür hat Waitz, was Amerika betrifft, 1, 165, Zeugnisse gesammelt.	103:113	0:243	Dass aber solche Kriege der Existenz ganzer Völker verhängnissvoll geworden sind und also , als für ihr Aussterben grundlegend , recht eigentlich zu unserer Betrachtung gehören , dafür hat Waitz , was Amerika betrifft , 1 , 165 , Zeugnisse gesammelt .	17	0:42
Aussterben	NOUN	1850	1	Aussterben-c1-i85	 	Nach dem Aussterben dieser letzten Seitenlinie wurde Tirol wieder von Wien aus regiert.	9:19	0:87	Nach dem Aussterben dieser letzten Seitenlinie wurde Tirol wieder von Wien aus regiert .	2	0:14
Aussterben	NOUN	1850	1	Aussterben-c1-i32	 	Der Boden, welchen diese jungen Völkerstämme gewannen, wurde in Lehne getheilt, die der oberste Lehnsherr oder Heerführer — unter der Bedingung fortwährender Krieges-Vereinigung und beim ersten Aufruf zu leistender persönlichen Dienste — seinem Comitate bewilligte, zuerst auf Lebenszeit, nachher weder durch bloße Usurpationen, noch durch bloßes ausdrückliches Gesetz, sondern durch allmählich befestigte Gewohnheit, erblich bis zu gänzlichem Aussterben des Mannsstammes.	444:454	0:472	Der Boden , welchen diese jungen Völkerstämme gewannen , wurde in Lehne getheilt , die der oberste Lehnsherr oder Heerführer — unter der Bedingung fortwährender Krieges-Vereinigung und beim ersten Aufruf zu leistender persönlichen Dienste — seinem Comitate bewilligte , zuerst auf Lebenszeit , nachher weder durch bloße Usurpationen , noch durch bloßes ausdrückliches Gesetz , sondern durch allmählich befestigte Gewohnheit , erblich bis zu gänzlichem Aussterben des Mannsstammes .	65	0:69
Aussterben	NOUN	1850	1	Aussterben-c1-i51	 	Nach dem Aussterben der Karolinger nahm das Kunstbedürfnis stetig ab, um im 13. Jahrhundert, durch die Kreuzzüge angeregt, wieder zu schöner Blüte zu erwachsen.	9:19	0:160	Nach dem Aussterben der Karolinger nahm das Kunstbedürfnis stetig ab , um im 13. Jahrhundert , durch die Kreuzzüge angeregt , wieder zu schöner Blüte zu erwachsen .	2	0:28
Aussterben	NOUN	1850	1	Aussterben-c1-i67	 	Aussterben der Bayerschen Churlinie mit Churfürst Maximilian Joseph 30. Dec. 1777; und Succession von Carl Theodor, Churfürst von der Pfalz, als Haupt der älteren Wittelsbachischen Linie.	0:10	0:187	Aussterben der Bayerschen Churlinie mit Churfürst Maximilian Joseph 30. Dec. 1777 ; und Succession von Carl Theodor , Churfürst von der Pfalz , als Haupt der älteren Wittelsbachischen Linie .	0	0:30
Aussterben	NOUN	1850	1	Aussterben-c1-i59	 	4. Die große Frage, welche seit dem Ryswicker Frieden fast ausschließend die Cabinette des Westens beschäftigte, und aus der nicht nur ein langwieriger Krieg, sondern auch die folgenden Staatshändel dieses Zeitraums vorzugsweise hervorgingen, war die der Spanischen Succession bey dem bevorstehenden Aussterben der Spanisch-Habsburgischen Linie mit Carl II.	300:310	0:357	4. Die große Frage , welche seit dem Ryswicker Frieden fast ausschließend die Cabinette des Westens beschäftigte , und aus der nicht nur ein langwieriger Krieg , sondern auch die folgenden Staatshändel dieses Zeitraums vorzugsweise hervorgingen , war die der Spanischen Succession bey dem bevorstehenden Aussterben der Spanisch- Habsburgischen Linie mit Carl II .	45	0:54
