lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized
hinrichten	NOUN	1850	1	hinrichten-c1-i47	 	Dschafer ward hingerichtet, sein Kopf über eins der Stadtthore Bagdads aufgesteckt, und sämmtliche Barmekiden, in die Wüste getrieben, unterlagen dort dem Hunger und Elende.	14:26	0:173	Dschafer ward hingerichtet , sein Kopf über eins der Stadtthore Bagdads aufgesteckt , und sämmtliche Barmekiden , in die Wüste getrieben , unterlagen dort dem Hunger und Elende .	2	0:29
hinrichten	NOUN	1850	1	hinrichten-c1-i63	 	Der Morgen, an dem Denner und Andres hingerichtet werden sollten, war angebrochen; da ging die Thür des Gefängnisses auf, und der junge Graf von Vach trat hinein zum Andres, der auf den Knien lag und still betete.	37:49	0:213	Der Morgen , an dem Denner und Andres hingerichtet werden sollten , war angebrochen ; da ging die Thür des Gefängnisses auf , und der junge Graf von Vach trat hinein zum Andres , der auf den Knien lag und still betete .	8	0:43
hinrichten	NOUN	1850	1	hinrichten-c1-i13	 	Als Jene beim Abtragen ihrer Gebäude lässig zu Werke gingen, drohten die Bevollmächtigten einige der Factoreibeamten hinrichten zu lassen, wenn man nicht eile.	117:127	0:159	Als Jene beim Abtragen ihrer Gebäude lässig zu Werke gingen , drohten die Bevollmächtigten einige der Factoreibeamten hinrichten zu lassen , wenn man nicht eile .	17	0:26
hinrichten	NOUN	1850	1	hinrichten-c1-i87	 	Johann Baldini, 30 Jahre alt, verheirathet, früher Ingenieur bei der ungarischen Eisenbahndirektion, dann Oberlieutenant im Frangepan'schen Freikorps der ungarischen Regierung, ist wegen seiner Theilnahme am bewaffneten Widerstande gegen die k. k. Standrechtsbestien zum Strange verurtheilt und gestern früh „durch nachträgliche hohe Ermächtigung“ mit Pulver und Blei hingerichtet worden.	368:380	0:388	Johann Baldini , 30 Jahre alt , verheirathet , früher Ingenieur bei der ungarischen Eisenbahndirektion , dann Oberlieutenant im Frangepan'schen Freikorps der ungarischen Regierung , ist wegen seiner Theilnahme am bewaffneten Widerstande gegen die k. k. Standrechtsbestien zum Strange verurtheilt und gestern früh „ durch nachträgliche hohe Ermächtigung “ mit Pulver und Blei hingerichtet worden .	53	0:56
hinrichten	NOUN	1850	1	hinrichten-c1-i43	 	Das Messer besitzt an den bessern Pflügen dieser Art, mit denen man etwas tief eingreifen will, eine Beweglichkeit, wodurch seine Schneide nach der einen oder der andern Seite hingerichtet werden kann.	176:188	0:201	Das Messer besitzt an den bessern Pflügen dieser Art , mit denen man etwas tief eingreifen will , eine Beweglichkeit , wodurch seine Schneide nach der einen oder der andern Seite hingerichtet werden kann .	31	0:35
hinrichten	NOUN	1850	1	hinrichten-c1-i98	 	Bei der Buitenkerk liegt das Denkmal des Verräthers von Batavia, Pieter Elberfeld, der 1722 hingerichtet wurde.	92:104	0:111	Bei der Buitenkerk liegt das Denkmal des Verräthers von Batavia , Pieter Elberfeld , der 1722 hingerichtet wurde .	16	0:19
hinrichten	NOUN	1850	1	hinrichten-c1-i23	 	Die Volksmänner schalteten mit schrankenloser Willkür, brannten die Amtsgebäude verhasster Mandarinen nieder und liessen unredliche Polizei-Beamten öffentlich hinrichten.	159:169	0:170	Die Volksmänner schalteten mit schrankenloser Willkür , brannten die Amtsgebäude verhasster Mandarinen nieder und liessen unredliche Polizei-Beamten öffentlich hinrichten .	18	0:20
hinrichten	NOUN	1850	1	hinrichten-c1-i96	 	— Sie nahm ihn auf die Seite und bedeutete ihm, der Fremde müsse, bevor er hingerichtet werde, eine Einladung aufsetzen, um vermittelst derselben die Familie, deren Bekämpfung im Walde manchen Gefahren ausgesetzt sei, in die Pflanzung zu locken.	75:87	0:245	— Sie nahm ihn auf die Seite und bedeutete ihm , der Fremde müsse , bevor er hingerichtet werde , eine Einladung aufsetzen , um vermittelst derselben die Familie , deren Bekämpfung im Walde manchen Gefahren ausgesetzt sei , in die Pflanzung zu locken .	17	0:45
hinrichten	NOUN	1850	1	hinrichten-c1-i17	 	Wenn der Jäger ihr von den klugen Gesprächen der Weisen erzählte, so lag ein feines Verstehen um die Lippen, wenn er ihr sagte, daß Karl von Anjou mit finsterem unbeweglichem Gesichte zugesehen, als er den jungen unschuldigen Konradin hinrichten lassen, so faltete sich die reine Stirn und Thränen flossen unter diesen lieben zornigen Falten; aber eine süße Trunkenheit, ein seliger Sonnenschein durchleuchtete das Antlitz, wenn er ihr das grüne, wilde Murgthal schilderte und dazu mit seiner tiefen, wohlklingenden Stimme das Lied sang:	235:245	0:537	Wenn der Jäger ihr von den klugen Gesprächen der Weisen erzählte , so lag ein feines Verstehen um die Lippen , wenn er ihr sagte , daß Karl von Anjou mit finsterem unbeweglichem Gesichte zugesehen , als er den jungen unschuldigen Konradin hinrichten lassen , so faltete sich die reine Stirn und Thränen flossen unter diesen lieben zornigen Falten ; aber eine süße Trunkenheit , ein seliger Sonnenschein durchleuchtete das Antlitz , wenn er ihr das grüne , wilde Murgthal schilderte und dazu mit seiner tiefen , wohlklingenden Stimme das Lied sang :	42	0:93
hinrichten	NOUN	1850	1	hinrichten-c1-i15	 	Bei seiner Ankunft war man dort schon von den Missethaten des Andrade unterrichtet; Pirez wurde nach vielen Demüthigungen unter strenger Bewachung wieder nach Kan-ton geschleppt, dort misshandelt, eingekerkert und muthmaasslich hingerichtet.	228:240	0:241	Bei seiner Ankunft war man dort schon von den Missethaten des Andrade unterrichtet ; Pirez wurde nach vielen Demüthigungen unter strenger Bewachung wieder nach Kan-ton geschleppt , dort misshandelt , eingekerkert und muthmaasslich hingerichtet .	33	0:35
